DENOM_SOCIAL|DT_REG|DT_CANCEL|SIT|DT_INI_SIT|CD_CVM|SETOR_ATIV|CONTROLE_ACIONARIO
ITAU UNIBANCO S.A.|1977-07-20|2003-05-08|CANCELADA|2003-05-08|1287|Bancos|PRIVADO
BCO MAISONNAVE DE INV SA|1976-05-21|1989-01-10|CANCELADA|1989-01-10|1295|Bancos|PRIVADO
BANCO MERCANTIL DE INVESTIMENTOS S.A.|1977-07-20||ATIVO|1977-07-20|1309|Bancos|PRIVADO
BANCO MERCANTIL DE SÃO PAULO SA|1977-07-20|2003-09-30|CANCELADA|2003-09-30|1317|Bancos|PRIVADO
BANCO MERCANTIL BRASIL SA|1977-07-20||ATIVO|1977-07-20|1325|Bancos|PRIVADO
BCO NACIONAL INVS SA|1977-07-20|1991-06-18|CANCELADA|1991-06-18|1341|Bancos|PRIVADO
BANCO NACIONAL S.A. - EM LIQUIDAÇÃO EXTRAJUDICIAL|1977-07-20||ATIVO|1977-07-20|1350|Bancos|PRIVADO
BANCO SANTANDER NOROESTE SA|1977-07-20|1999-06-30|CANCELADA|1999-06-30|1368|Bancos|PRIVADO
BANFORT-BANCO FORTALEZA S.A.|1977-07-20|2007-01-09|CANCELADA|2007-01-09|1376|Bancos|PRIVADO
BANCO ALFA DE INVESTIMENTO S.A.|1977-07-20||ATIVO|1977-07-20|1384|Bancos|PRIVADO
BANCO REAL SA|1977-07-20|2000-04-28|CANCELADA|2000-04-28|1392|Bancos|PRIVADO
BANCO SAFRA S/A|1977-07-20|1990-12-27|CANCELADA|1990-12-27|1406|Bancos|PRIVADO
BCO SAVENA SA|1977-07-20|1984-12-28|CANCELADA|1984-12-28|1414|Bancos|PRIVADO
BANCO SUDAMERIS BRASIL SA|1977-07-20|2007-05-25|CANCELADA|2007-05-25|1422|Bancos|PRIVADO
BCO SUL BRASILEIRO SA|1973-02-20|1985-06-10|CANCELADA|1985-06-10|1430|Bancos|PRIVADO
UNIBANCO LEASING S.A.- ARREND. MERCANTIL|1981-07-23|1989-12-14|CANCELADA|1989-12-14|1449|Arrendamento Mercantil|PRIVADO
BANORTE BANCO INVEST SA|1972-01-27|1990-08-09|CANCELADA|1990-08-09|1465|Bancos|PRIVADO
BANCO BANORTE SA EM LIQUIDAÇÃO EXTRAJUDICIAL|1977-07-20|2006-07-18|CANCELADA|2006-07-18|1473|Bancos|PRIVADO
BANORTE CRED FIN E INVEST SA|1977-07-20|1990-08-09|CANCELADA|1990-08-09|1481|Bancos|PRIVADO
BANORTE CRED IMOBILIARIO SA|1977-07-20|1990-08-09|CANCELADA|1990-08-09|1490|Crédito Imobiliário|PRIVADO
PARTICIPAÇÕES INDUST. DO NORDESTE S.A.|1983-12-12|2021-08-05|CANCELADA|2021-08-05|1597|Emp. Adm. Part. - Sem Setor Principal|PRIVADO HOLDING
BRADESCO BCN LEASING S/A ARR MERCANTIL|1977-07-20|2004-09-01|CANCELADA|2004-09-01|1600|Arrendamento Mercantil|PRIVADO
BANCO BMG S/A|1977-07-20|1994-03-14|CANCELADA|1994-03-14|1716|Bancos|PRIVADO
BMG LEASING S.A. -  ARREND. MERCANTIL|1980-12-05|2019-08-12|CANCELADA|2019-08-12|1724|Arrendamento Mercantil|PRIVADO
BOAVISTA SA CRED FIN E INV|1977-07-20|1990-06-22|CANCELADA|1990-06-22|1732|Bancos|PRIVADO
BOAVISTA SA ARREND MERCANTIL|1983-12-23|1989-10-16|CANCELADA|1989-10-16|1759|Arrendamento Mercantil|PRIVADO
ITAUBANK LEASING SA ARREND MERCANTIL (SUCEDIDA POR ITAU UNIBANCO SA E DIBENS LEASING SA ARR. MERCANT|1983-07-06|2009-02-28|CANCELADA|2009-02-28|1821|Arrendamento Mercantil|PRIVADO
SANTANDER LEASING S.A. ARREND MERC|1981-11-10|2002-12-06|CANCELADA|2002-12-06|1830|Arrendamento Mercantil|PRIVADO
BRASMETAL CIA BRAS METALURGIA|1969-07-29|1990-12-28|CANCELADA|1990-12-28|1961|Emp. Adm. Participações|PRIVADO
CAETANO BRANCO SA|1975-07-24|1994-07-20|CANCELADA|1994-07-20|2054|Emp. Adm. Participações|PRIVADO
CARFEPE SA - ADMINISTRADORA E PARTICIPADORA|1977-07-20|2010-01-04|CANCELADA|2010-01-04|2135|Emp. Adm. Part. - Sem Setor Principal|PRIVADO HOLDING
VEPLAN SA|1977-07-20|2005-03-22|CANCELADA|2005-03-22|2291|Crédito Imobiliário|PRIVADO
BCO CEDULA SA|1977-07-20|1992-09-22|CANCELADA|1992-09-22|2380|Bancos|PRIVADO
CESP - COMPANHIA ENERGÉTICA DE SÃO PAULO|1971-09-27||ATIVO|1971-09-27|2577|Energia Elétrica|PRIVADO
CIA AMERICA SUL CFI|1977-07-20|1989-05-19|CANCELADA|1989-05-19|2739|Bancos|PRIVADO
CIA AUXILIAR EMP MIN CAEMI|1981-11-25|1991-05-06|CANCELADA|1991-05-06|2780|Emp. Adm. Participações|PRIVADO
CIA BANDEIRANTES CFI|1977-07-20|1997-07-21|CANCELADA|1997-07-21|2801|Bancos|PRIVADO
CIA BOZANO SIMONSEN COM IND|1977-07-20|1992-04-22|CANCELADA|1992-04-22|2836|Emp. Adm. Participações|PRIVADO
CIA INVEST DO PARA|1979-12-29|1986-11-10|CANCELADA|1986-11-10|3093|Emp. Adm. Participações|PRIVADO
CIA SEGUROS ALIANCA BAHIA|1977-07-20||ATIVO|1977-07-20|3115|Seguradoras e Corretoras|PRIVADO
CIA SEGUROS BAHIA|1977-07-20|1997-07-02|CANCELADA|1997-07-02|3131|Seguradoras e Corretoras|PRIVADO
CIA SEGUROS MINAS BRASIL|1977-07-20|2009-10-14|CANCELADA|2009-10-14|3140|Seguradoras e Corretoras|PRIVADO
REDE ENERGIA PARTICIPAÇÕES S.A.|1969-10-16||ATIVO|1969-10-16|3190|Energia Elétrica|PRIVADO
ENERGISA MINAS GERAIS - DISTRIBUIDORA DE ENERGIA S/A|1969-12-17||ATIVO|1969-12-17|3271|Energia Elétrica|PRIVADO
COMPANHIIA HABITASUL DE PARTICIPAÇÕES|1982-04-19||ATIVO|1982-04-19|3298|Emp. Adm. Part. - Crédito Imobiliário|PRIVADO
COMPANHIA ITAUNENSE ENERGIA E PARTICIPAÇÕES|1969-04-02||ATIVO|2017-11-23|3450|Energia Elétrica|PRIVADO
CIA INTERNACIONAL FIDUCIARIA|1976-06-05|1989-05-12|CANCELADA|1989-05-12|3557|Emp. Adm. Participações|PRIVADO
TELEINVEST PARTICIPACOES SA|1982-12-17|1994-11-11|CANCELADA|1994-11-11|3565|Emp. Adm. Participações|PRIVADO
CIA IOCHPE|1980-06-23|1993-08-03|CANCELADA|1993-08-03|3573|Emp. Adm. Participações|PRIVADO HOLDING
BANCO ITAULEASING S.A.|1981-05-29|2007-11-07|CANCELADA|2007-11-07|3590|Bancos|PRIVADO
CIA PAULISTA ENERGIA ELETRICA|1972-01-20|2001-03-16|CANCELADA|2001-03-16|3794|Energia Elétrica|PRIVADO
COMPANHIA PAULISTA DE FORCA LUZ - CPFL|1969-08-19||ATIVO|1969-08-19|3824|Energia Elétrica|PRIVADO
FINANCEIRA ALFA S.A.- C.F.I|1977-07-20||ATIVO|1977-07-20|3891|Bancos|PRIVADO
CIA RIOGRANDENSE TELECOMUNICAÇÕES|1969-03-21|2000-12-28|CANCELADA|2000-12-28|3913|Telecomunicações|PRIVADO
CITIBANK LEASING S.A. - ARREND.MERCANTIL|1983-04-14|2004-05-19|CANCELADA|2004-05-19|4383|Arrendamento Mercantil|PRIVADO
COMIND SA|1982-12-27|1993-01-21|CANCELADA|1993-01-21|4553|Emp. Adm. Participações|PRIVADO
COMIND BANCO INVESTIMENTO SA|1969-10-03|1992-03-13|CANCELADA|1992-03-13|4570|Bancos|PRIVADO
COPENE PARTICIPAÇÕES S/A|1982-09-28|2005-04-19|CANCELADA|2005-04-19|4642|Emp. Adm. Participações|PRIVADO HOLDING
CONSORCIO ALFA DE ADMINISTRAÇÃO SA|1977-07-20||ATIVO|1977-07-20|4707|Emp. Adm. Part. - Intermediação Financeira|PRIVADO HOLDING
FINAÚSTRIA ARRENDAMENTO MERCANTIL S.A.|1983-04-14|1990-01-24|CANCELADA|1990-01-24|4952|Arrendamento Mercantil|PRIVADO
DEDINI SA ADM E PARTICIPACOES|1979-02-12|1999-03-30|CANCELADA|1999-03-30|5096|Emp. Adm. Participações|PRIVADO
EMPREENDS ADM COM ANNA SA|1982-12-27|1989-07-06|CANCELADA|1989-07-06|5541|Emp. Adm. Participações|PRIVADO
ENERGISA MATO GROSSO DO SUL - DISTRIBUIDORA DE ENERGIA S/A|1981-08-28||ATIVO|1981-08-28|5576|Energia Elétrica|PRIVADO
BRB CRED FINANC E INVEST SA|1972-07-20|1987-05-08|CANCELADA|1987-05-08|6009|Bancos|PRIVADO
INVESTIMENTOS BEMGE S.A.|1977-07-20||ATIVO|1977-07-20|6041|Bancos|PRIVADO
FINANCIADORA BCN SA CFI|1977-07-20|1998-05-25|CANCELADA|1998-05-25|6050|Bancos|PRIVADO
FINANCIADORA BRADESCO SA CFI|1977-07-20|1988-06-15|CANCELADA|1988-06-15|6068|Bancos|PRIVADO
FINANSINOS S/A-CRÉDITO, FINAN. E INVEST.|1977-07-20||ATIVO|1977-07-20|6076|Bancos|PRIVADO
FINASA LEASING ARRENDAMENTO MERCANTIL SA|1981-08-11|2003-04-30|CANCELADA|2003-04-30|6084|Arrendamento Mercantil|PRIVADO
BANCO FININVEST SA|1977-07-20|1998-06-12|CANCELADA|1998-06-12|6092|Bancos|PRIVADO
GARRA PARTICIPACOES SA|1981-05-13|1990-11-20|CANCELADA|1990-11-20|6360|Emp. Adm. Participações|PRIVADO
GEB VIDIGAL SA|1982-06-02|1991-06-18|CANCELADA|1991-06-18|6386|Emp. Adm. Participações|PRIVADO
GESTIO SA COMERCIO E INDUSTRIA|1981-12-04|1990-07-13|CANCELADA|1990-07-13|6467|Emp. Adm. Participações|PRIVADO
GPC INDUSTRIA E COMERCIO SA|1982-07-16|1991-06-20|CANCELADA|1991-06-20|6548|Emp. Adm. Participações|PRIVADO
INVESPAR SA|1983-09-08|1996-08-23|CANCELADA|1996-08-23|7609|Emp. Adm. Participações|PRIVADO
ITAUSA S.A.|1977-07-20||ATIVO|1977-07-20|7617|Emp. Adm. Part. - Sem Setor Principal|PRIVADO
ADEPAR ASSESSORIA ADM SERV SA|1981-04-14|1989-08-02|CANCELADA|1989-08-02|7625|Emp. Adm. Participações|PRIVADO
BRADESCO LEASING S.A. ARREND. MERCANTIL|1981-06-24|1989-07-04|CANCELADA|1989-07-04|7986|Arrendamento Mercantil|PRIVADO
BANCOCIDADE LEASING ARR MERC SA|1983-08-08|2003-11-18|CANCELADA|2003-11-18|7994|Arrendamento Mercantil|PRIVADO
LIGHT SERVIÇOS DE ELETRICIDADE SA|1968-11-25||ATIVO|1968-11-25|8036|Energia Elétrica|PRIVADO HOLDING
MULTIPLIC LEASING ARR MERC SA|1983-03-30|1998-10-22|CANCELADA|1998-10-22|8150|Arrendamento Mercantil|PRIVADO
BANEX S/A - CRÉDITO, FINANCIAMENTO E INVESTIMENTO|1977-07-20|2007-11-14|CANCELADA|2007-11-14|8176|Intermediação Financeira|PRIVADO
TREVISA  INVESTIMENTOS SA|1980-12-15||ATIVO|1980-12-15|8192|Emp. Adm. Part. - Sem Setor Principal|PRIVADO
MAISONNAVE CIA DE PART|1981-03-13|1998-12-18|CANCELADA|1998-12-18|8338|Emp. Adm. Participações|PRIVADO
MAISONNAVE DTVM SA|1977-07-20|1989-01-10|CANCELADA|1989-01-10|8346|Seguradoras e Corretoras|PRIVADO
MAISONNAVE LEASING SA AM|1981-06-12|1989-01-10|CANCELADA|1989-01-10|8354|Arrendamento Mercantil|PRIVADO
MAISONNAVE SA CFI|1977-07-20|1989-01-10|CANCELADA|1989-01-10|8362|Bancos|PRIVADO
MERCANTIL DO BR FINC SA CFI|1977-07-20||ATIVO|1977-07-20|8540|Bancos|PRIVADO
BFC BANCO SA|1977-07-20|1990-07-16|CANCELADA|1990-07-16|8796|Bancos|PRIVADO
MINAS INV SA EMPR ADM ADMINAS|1977-07-20|1998-12-09|CANCELADA|1998-12-09|8800|Emp. Adm. Participações|PRIVADO
MONTEIRO ARANHA SA|1980-05-07||ATIVO|1980-05-07|8893|Emp. Adm. Part. - Sem Setor Principal|PRIVADO HOLDING
MUNCK SA EQUIPS INDUSTRIAIS|1977-07-20|1991-01-07|CANCELADA|1991-01-07|9024|Emp. Adm. Participações|PRIVADO
NOROESTE SEGURADORA SA|1977-07-20|1994-06-10|CANCELADA|1994-06-10|9113|Seguradoras e Corretoras|PRIVADO
NOVO HAMBURGO CIA SEGS GERAIS|1977-07-20|1999-08-18|CANCELADA|1999-08-18|9148|Seguradoras e Corretoras|PRIVADO
NOVOSINOS SA DTVM|1977-07-20|2002-01-22|CANCELADA|2002-01-22|9156|Seguradoras e Corretoras|PRIVADO
ODEBRECHT SA|1981-07-17|2000-10-17|CANCELADA|2000-10-17|9199|Emp. Adm. Participações|PRIVADO
PERDIGAO AGROINDUSTRIAL SA|1977-07-20|1997-09-12|CANCELADA|1997-09-12|9466|Emp. Adm. Participações|PRIVADO
SOUTO VIDIGAL SA|1969-12-16|2004-03-11|CANCELADA|2004-03-11|9547|Emp. Adm. Participações|PRIVADO
PEVE PREDIOS SA|1983-09-29|2003-01-30|CANCELADA|2003-01-30|9555|Emp. Adm. Participações|PRIVADO
ALFA HOLDINGS SA|1977-07-20||ATIVO|1977-07-20|9954|Emp. Adm. Part. - Intermediação Financeira|PRIVADO HOLDING
ROSAFER SA|1982-11-25|1989-08-31|CANCELADA|1989-08-31|10146|Emp. Adm. Participações|PRIVADO
SAFRA LEASING SA ARRENDAMENTO  MERCANTIL|1981-06-24|1990-02-13|CANCELADA|1990-02-13|10340|Arrendamento Mercantil|PRIVADO
SAFRA SA ADM E PARTICIPACOES|1981-04-29|1988-04-28|CANCELADA|1988-04-28|10359|Emp. Adm. Participações|PRIVADO
SUL AMERICA STA CRUZ SEGS SA|1977-07-20|1998-05-06|CANCELADA|1998-05-06|10413|Seguradoras e Corretoras|PRIVADO
SAO LUIZ PARTICIPACOES SA|1981-12-17|1988-10-17|CANCELADA|1988-10-17|10448|Emp. Adm. Participações|PRIVADO
NACIONAL SA SOC CRED FIN INVS|1977-07-20|1990-01-30|CANCELADA|1990-01-30|10766|Bancos|PRIVADO
SAFRA HOLDING SA|1982-07-16|1990-12-27|CANCELADA|1990-12-27|10847|Emp. Adm. Participações|PRIVADO
SOGERAL LEASING SA ARREND MERC|1983-11-07|2000-01-18|CANCELADA|2000-01-18|10855|Arrendamento Mercantil|PRIVADO
SUL AMERICA CAPITALIZACAO S.A.|1977-07-20|2004-11-29|CANCELADA|2004-11-29|11002|Seguradoras e Corretoras|PRIVADO
SUL AMERICA CIA NACL SEGUROS|1977-07-20|2008-05-12|CANCELADA|2008-05-12|11010|Seguradoras e Corretoras|PRIVADO
SATMA SUL AMERICA PARTS SA|1977-07-20|1999-04-06|CANCELADA|1999-04-06|11029|Seguradoras e Corretoras|PRIVADO
SUL BRASILEIRO COM IMP EXP SA|1977-07-20|2000-05-19|CANCELADA|2000-05-19|11037|Emp. Adm. Participações|PRIVADO
SUL BRASILEIRO CRED.,FINANC.E|1971-07-22|1986-01-10|CANCELADA|1986-01-10|11045|Crédito Imobiliário|PRIVADO
TELECOMUNICAÇÕES BAHIA SA|1959-07-17|2001-08-02|CANCELADA|2001-08-02|11266|Telecomunicações|PRIVADO
TELECOM BRASILIA SA|1976-12-14|2000-02-28|CANCELADA|2000-02-28|11274|Telecomunicações|PRIVADO HOLDING
TELECOMUNICAÇÕES MINAS GERAIS SA|1969-05-26|2001-08-02|CANCELADA|2001-08-02|11282|Telecomunicações|PRIVADO
TELECOMUNICAÇÕES  ESP SANTO S A - TELEST|1969-05-28|2001-08-02|CANCELADA|2001-08-02|11304|Telecomunicações|PRIVADO
OI S.A. - EM RECUPERAÇÃO JUDICIAL|1980-03-27||ATIVO|1980-03-27|11312|Telecomunicações|PRIVADO
TELEMAR NORTE LESTE SA|1979-12-12|2012-05-11|CANCELADA|2012-05-11|11320|Telecomunicações|PRIVADO
BANCO CACIQUE SA|1977-07-20|1988-12-27|CANCELADA|1988-12-27|11380|Bancos|PRIVADO
TROMBINI SA ADM E PARTICIPACAO|1986-07-21|1999-12-13|CANCELADA|1999-12-13|11517|Emp. Adm. Participações|PRIVADO HOLDING
ULTRAQUIMICA PARTICIPACOES SA|1983-05-06|1995-07-31|CANCELADA|1995-07-31|11533|Emp. Adm. Participações|PRIVADO
UNIBANCO LEASING S.A .-ARREND.MERCANTIL|1981-06-03|2001-06-29|CANCELADA|2001-09-28|11550|Arrendamento Mercantil|PRIVADO
UNIBANCO BANCO INV BRASIL SA|1977-07-20|1989-12-01|CANCELADA|1989-12-01|11576|Bancos|PRIVADO
UNIBANCO UNIAO BANCOS BRAS SA|1977-07-20|2009-04-13|CANCELADA|2009-04-13|11584|Bancos|PRIVADO
CREDIT COMML FRANCE SA AR MERC|1980-09-22|1987-08-25|CANCELADA|1987-08-25|11665|Arrendamento Mercantil|PRIVADO
JAIME PINHEIRO PARTIC. S/A|1982-11-10|1995-02-09|CANCELADA|1995-02-09|11878|Emp. Adm. Participações|PRIVADO
AUXILIAR SA PARTICIPACOES|1984-06-20|2005-08-09|CANCELADA|2005-08-09|11924|Emp. Adm. Participações|PRIVADO
BAPTISTA DA SILVA PARTICIPAÇÕES E PROJETOS SA|1984-10-30|2010-01-04|CANCELADA|2010-01-04|12033|Emp. Adm. Part. - Sem Setor Principal|PRIVADO
GURGEL SA PARTICIPACOES|1984-11-06|2005-03-22|CANCELADA|2005-03-22|12050|Emp. Adm. Participações|PRIVADO
ELEBRA SA ELETR BRASILEIRA|1984-12-07|2008-03-18|CANCELADA|2008-03-18|12122|Telecomunicações|PRIVADO
HUMAITA SA|1984-12-12|1989-12-19|CANCELADA|1989-12-19|12149|Emp. Adm. Participações|PRIVADO
COMIND LEASING SA ARR MERC|1985-01-04|1993-01-12|CANCELADA|1993-01-12|12173|Arrendamento Mercantil|PRIVADO
SIFCOINVEST SA|1985-01-16|1988-09-19|CANCELADA|1988-09-19|12203|Emp. Adm. Participações|PRIVADO
EUROLEASE SA ARREND MERCANTIL|1985-03-04|2008-01-15|CANCELADA|2008-01-15|12289|Arrendamento Mercantil|PRIVADO
AGF BRASIL SEGUROS SA|1985-04-09|2005-05-30|CANCELADA|2005-05-30|12343|Seguradoras e Corretoras|PRIVADO
LORENTZEN EMPREENDIMENTOS SA|1985-04-26|1990-07-06|CANCELADA|1990-07-06|12351|Emp. Adm. Participações|PRIVADO
BRADESCO LEASING S.A. - ARRENDAMENTO MERCANTIL|1985-06-12|1989-09-15|CANCELADA|1989-09-15|12386|Arrendamento Mercantil|PRIVADO
FISCHER SA COM IND AGRICULTURA|1985-08-19|1990-06-29|CANCELADA|1990-06-29|12432|Emp. Adm. Participações|PRIVADO
CIA SEGUROS RIO BRANCO|1985-10-21|1990-01-16|CANCELADA|1990-01-16|12475|Seguradoras e Corretoras|PRIVADO
AVARA SA|1971-10-19|1989-10-11|CANCELADA|1989-10-11|12483|Emp. Adm. Participações|PRIVADO
INVESTEC SA|1985-11-01|1999-05-04|CANCELADA|1999-05-04|12505|Emp. Adm. Participações|PRIVADO
MULTITEL TECNOLOGIA SA|1986-02-28|1993-06-24|CANCELADA|1993-06-24|12610|Emp. Adm. Participações|PRIVADO
GARPA SA|1986-04-30|1990-12-19|CANCELADA|1990-12-19|12718|Emp. Adm. Participações|PRIVADO
MODDATA SA ENG. DE TEL. E INF.|1986-05-12|2005-03-22|CANCELADA|2005-03-22|12734|Telecomunicações|PRIVADO
SEHBE CIA DE PARTICIPACOES|1986-07-09|2005-08-09|CANCELADA|2005-08-09|12874|Emp. Adm. Participações|PRIVADO
CMP CIA DE MINERACAO E PART|1986-07-12|1992-08-04|CANCELADA|1992-08-04|12890|Emp. Adm. Participações|PRIVADO
MARTREX SA|1986-10-13|2001-01-09|CANCELADA|2001-01-09|13064|Emp. Adm. Participações|PRIVADO
TECPART PARTS E EMPREENDS SA|1986-12-12|1992-11-12|CANCELADA|1992-11-12|13102|Emp. Adm. Participações|PRIVADO
KIEPPE INVESTIMENTOS SA|1987-07-08|1995-02-14|CANCELADA|1995-02-14|13200|Emp. Adm. Participações|PRIVADO
ALBATROZ SA|1987-11-05|1990-12-27|CANCELADA|1990-12-27|13242|Emp. Adm. Participações|PRIVADO
MAYUTA SA|1987-11-05|1990-12-27|CANCELADA|1990-12-27|13250|Emp. Adm. Participações|PRIVADO
PROMON TECNOLOGIA SA|1988-03-30|1990-08-16|CANCELADA|1990-08-16|13293|Emp. Adm. Participações|PRIVADO
CMA PARTICIPAÇÕES SA|1988-06-24|2005-05-17|CANCELADA|2005-05-17|13323|Emp. Adm. Participações|PRIVADO HOLDING
TRILUX PARTICIPACOES SA|1988-11-29|2001-06-26|CANCELADA|2001-06-26|13420|Emp. Adm. Participações|PRIVADO
POLPAR S.A.|1989-03-03||ATIVO|1989-03-03|13447|Emp. Adm. Part. - Sem Setor Principal|PRIVADO
COLUMBIA PARTICIPACOES SA|1989-06-07|1992-11-10|CANCELADA|1992-11-10|13510|Emp. Adm. Participações|PRIVADO
ECONOMICO SA EMPREENDIMENTOS|1989-07-28|2003-03-31|CANCELADA|2003-03-31|13536|Emp. Adm. Participações|PRIVADO
DEDIPAR SA PARTICIPACOES|1990-02-02|1992-04-14|CANCELADA|1992-04-14|13625|Emp. Adm. Participações|PRIVADO
NACIONAL LEASING SA ARR MEC|1990-04-05|1996-05-27|CANCELADA|1996-05-27|13676|Arrendamento Mercantil|PRIVADO
BRADESCO LEASING S.A. ARREND. MERCANTIL|1990-11-27|2003-02-28|CANCELADA|2003-02-28|13757|Arrendamento Mercantil|PRIVADO
SÃO CARLOS EMPREENDS E PARTICIPAÇÕES S.A|1991-03-25||ATIVO|1991-03-25|13781|Emp. Adm. Part. - Sem Setor Principal|PRIVADO
CEMEPE INVESTIMENTOS SA|1991-06-28||ATIVO|1991-06-28|13854|Emp. Adm. Part. - Sem Setor Principal|PRIVADO HOLDING
